"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxID","score","taxon"
"1","23c619d6fffd998ebd33fc4a32feda91287ea49e","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"2","f5b5aded2ca74ffb7f6b02448ffa90a36de662df","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus",NA,"consensus","consensus","Peromyscus"
"3","c6d586dc78d8ef5cac238cba2d5714407775bd69","species","Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","consensus","consensus","Bos taurus"
"4","63a7d0273f9bdd41fc062c411d5c529730a67ff1","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"5","c161735732d10ef81323d9b5812491897d2eb5ab","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"consensus","consensus","Microtus"
"6","ca4009e9f4961a466d717e77ddddcf64a374073d","genus","Metazoa","Chordata","Aves","Anseriformes","Anatidae","Anas",NA,"consensus","consensus","Anas"
"7","9a33de19684dd94fef15cc285fa6e9a6a7284e64","genus","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex",NA,"consensus","consensus","Sorex"
"8","da86e55cb2b03c4f47a877c184e63d907a48bc4e","species","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus","Gallus gallus","consensus","consensus","Gallus gallus"
"9","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","family","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae",NA,NA,"consensus","consensus","Cervidae"
"10","cf2cc76f0422225929104f836da1e258afb22e63","family","Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae",NA,NA,"consensus","consensus","Talpidae"
"11","71af3877e5027588b85b33c8f9610503cdf2af74","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","consensus","consensus","Homo sapiens"
"12","59309486d84462893840a85fbdc4aeff89a26639","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","consensus","consensus","Homo sapiens"
"13","580a64b0134da56e49bf06482ed6ee164d8a6ec5","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"consensus","consensus","Dicamptodon"
"14","9c97beb16679ecb7372370a34b07e5df5923ff76","family","Metazoa","Chordata","Aves","Passeriformes","Fringillidae",NA,NA,"consensus","consensus","Fringillidae"
"15","a0de50866a09243951862dbc8ca45a4cdc3bffbd","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","consensus","consensus","Homo sapiens"
"16","a48239a814ca2f97d04e6d8f3da83a28fb959072","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","consensus","consensus","Homo sapiens"
"17","60bae576e1162a8312b8a84b4831b1a1fc8236a2","family","Metazoa","Chordata","Mammalia","Primates","Hominidae",NA,NA,"consensus","consensus","Hominidae"
"18","57d6d898eda1e9441a530d777b4b400eaafcc830","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"19","a019c9e9e643ecedfd32e60e9f6a0fb6653cd45a","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"20","65b27bbf5f77584b0eacafb5c71cc5305bce8503","species","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","Hadrosciurus","Hadrosciurus pyrrhinus","consensus","consensus","Hadrosciurus pyrrhinus"
"21","4ae8f1376f42f31bf564a8d4e4d52ab2f7207b8b","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"22","218981a28bc34046ea43eeabfb5490488a3fdcec","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"23","674af3b33c7bae7701e8234ea49ccd2c64e251d3","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","consensus","consensus","Homo sapiens"
"24","23306ba2884d8b883111906c8845e52a2ba66951","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"25","6a201abd1d3ac2a687b67be26aa88d80872ed628","order","Metazoa","Chordata","Mammalia","Primates",NA,NA,NA,"consensus","consensus","Primates"
"26","c51ba26786eb5812df3c3d681e5755e302ae36ac","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","consensus","consensus","Perca flavescens"
"27","778019ac53aa0608a2279757680179b5e9d2497d","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"28","6c10b5899bba357b017747ab42656440e6bd11e6","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","consensus","consensus","Homo sapiens"
"29","9e831a2f93daeb2d14b4c4990038bad6b33b4cd0","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"30","b6790504d21132ffe23ac3995a0acf3a7147e4a6","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"consensus","consensus","Sciuridae"
"31","aac79758a37d9b1780e2a717d568e425795ee1fc","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus",NA,"consensus","consensus","Peromyscus"
"32","9d436b01c0765b1fa99fc59215f7a7a994ed93bf","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"consensus","consensus","Cottidae"
