"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1eacd6b8e7ccfd00e53e98c9ff9ecee454f0f29f","  9103","Meleagris gallopavo","species",NA,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","Meleagris","Meleagris gallopavo"
"f3b74c85c0bdd0beba57a87b50994f3a01ddd199","371919","Pheucticus melanocephalus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Fringillidae","Pheucticus","Pheucticus melanocephalus"
"5a0c3363fdff5328d9329fe07af54c881ec0fbf2","452646","Neovison vison","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Mustelidae","Neovison","Neovison vison"
"215a1f59dbebd89ecaf8223653610b041c1e6baa"," 63520","Piranga ludoviciana","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Thraupidae","Piranga","Piranga ludoviciana"
"06a946d5a422494c1c67a9c47b31dc42cb821da2"," 40217","Junco hyemalis","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Passerellidae","Junco","Junco hyemalis"
"6666721eae42fcc70157266782136a10e19f633d","182677","Neurotrichus gibbsii","species",NA,"Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","Neurotrichus","Neurotrichus gibbsii"
"8363916dec8c7a2558cb7439c21f6a8bf42183c4"," 50402","Charadrius vociferus","species",NA,"Metazoa","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius vociferus"
"d1463558602bbd84bea02961a12237b821b43668","  9823","Sus scrofa","species",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"e9714c684e9beeaab137301ac612768962704198","  9685","Felis catus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"5760723c6e28c8e3422ee285d0f778f5923b74fb"," 30427","Haemorhous mexicanus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus"
"425d1387e82a4c46f3e9fe8fba9630adf572af55"," 28733","Vireo olivaceus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo olivaceus"
