"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"dc78ea7000749cdaa33f9199c52df6f0f90be099","   9126","Passeriformes","order","0.9012","Metazoa","Chordata","Aves","Passeriformes","","",""
"be1bd85cbedd796b3b70618ed8248f5c66768c49"," 504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"7ed525639c40b9418b4743e59f833fa5b3bdf355","2743731","Pogonichthyinae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"0136045211815efe585d758255e71b356536a546","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"a7517d5f93621c76c69106131eab915faa19f6b4","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"bbb3bcc890abbefe2371f7ee55542ef8cb9debc9","   9321","Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"9a69c3a268c7129726a4be25bfaacf024a80a18a","   8018","Oncorhynchus keta","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus keta"
"2aabdc69f5f7834996039f4029fa03ecfe70ffc0","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"a7ff5c1558e9bef5fc6d99e97c28e519c3a043cd"," 504568","Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"23bf5f5d24f589cba120a8635ee13e9817d90a52"," 504568","Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"b691daf5f3e55296cbb67deae952dd7956d05afd","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"27fee94e1e3c2ea7843bbc2828ff3f1d6c7c1fdd"," 504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b","2743731","Pogonichthyinae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"76918abfaa90d218d683fdbc4f8024dd430d7d91","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"b77414768c25433998316cb19ce1fe5eece7892a"," 504568","Salmoninae","subfamily","1.0000","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"7d8d284f8419abb75e2ddb771080f1475447d26c","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"bea2dbcc1ec2f6308ac84997e7e2e35874d5a24e","   8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"25e8531396b00cb9cdd8c87db81331ec1a0ee28e"," 123368","Acanthomorphata","clade","0.9997","Metazoa","Chordata","Actinopteri","","","",""
"9c177b556ac925aa7f5fa05607d9a4820e3dd201","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"5d2be06aa1ff742a96eae7b10b30f83e45e7047a","   8825","Neognathae","infraclass","1.0000","Metazoa","Chordata","Aves","","","",""
"14642c5a02ce5589b6be0bc27e5163c3fef40760","   7746","Petromyzontidae","family","1.0000","Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"3db492f4716a04f894bceb195ec2df6c0ff627ce","   9307","Macropodidae","family","1.0000","Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","",""
"a030c863a77b1256e92660407699546af98e83e3"," 504568","Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","   9881","Odocoileinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"7376c01095c17e594e0bbd34da0c1cd87d3f0b34","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"e3f94823c5b562c70b6976a56b257d07f347300a","  73321","Regulus calendula","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Sylviidae","Regulus","Regulus calendula"
"dea6affcc0e9e148fce03db6b063609eb8502e11"," 117571","Euteleostomi","clade","0.9748","Metazoa","Chordata","","","","",""
"660b777a1ee8cbb8bc7ed178567b1aad1dbf7904","   8092","Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"afb6e29d578074f7a4ffe420bed62b2babbaa2c1","  38609","Diprotodontia","order","0.9996","Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"64acd71396ce9fd7a044de196d7f1e36a58c8f32","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"e4c01a1e10a39e4fac0690b30faf8143cb962e3d","   8092","Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"38d71c584fffb66dc0fc7c764e9602a6b7510c4f","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"34d89c8c41926e52c4f3c1b1632a5ba4bc52b057","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"6bb82dc3ab69db941b42e0021db20651357c3dc0","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"3c4e754a97efa108e6feec65c0c355365d44d9da","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"7e453ee60af183263139c8d9dd4915c583361019","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"365b9ca2611bbe10fc3cd6493f967e340a18ff53","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"139ff38d8eb60547dba8a13573cc4d1939382544","  28725","Corvidae","family","0.9806","Metazoa","Chordata","Aves","Passeriformes","Corvidae","",""
"f5b5aded2ca74ffb7f6b02448ffa90a36de662df"," 337963","Neotominae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"03fc824c82a462e43b549ff7781076da5132cf94","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"435a838b2b2c319f8a742430f1bc4b092e22cadc","   8092","Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"bb5979eb46980592e985a0041ffb766a516ecd93","   8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"5183838b57461b9c9bb59d34ddfc45dbbaef6c6d","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"cd95a9d4b4b049792bb1cf2033b33c0dc30fef5d","   9312","Macropus","genus","1.0000","Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus",""
"2eb18eaf3053e4bb306b47b42bd9c34863aef20b","   8416","Neobatrachia","suborder","1.0000","Metazoa","Chordata","Amphibia","Anura","","",""
"c161735732d10ef81323d9b5812491897d2eb5ab"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"8cef7b027e960afaa1b27b3dae54739f50c9639a","   8092","Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"f9be645b97427fce55b25c209cad9ca860dd2747","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"c6cb649a3099b3f66e1d20dc768f63c3c58f8ef4","   9126","Passeriformes","order","0.9951","Metazoa","Chordata","Aves","Passeriformes","","",""
