"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","76918abfaa90d218d683fdbc4f8024dd430d7d91",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"2","c6d586dc78d8ef5cac238cba2d5714407775bd69",33213,"Bilateria","clade",NA,"Metazoa","","","","","",""
"3","7818939be318eeca036d8b3906645d17e81c5012",1,"root","no rank",1,"","","","","","",""
"4","20c7f9dbdf79b3ad51debc2428d4a2d27daf3069",1,"root","no rank",1,"","","","","","",""
"5","82d2ca5faea5bec0e9ddf893aea2b2399ae27e8f",8023,"Oncorhynchus nerka","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka"
"6","8b14c93f1397b9332dad055f0a0fc595f3646681",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"7","31adf9b0bfe620438b8e730fd474cc27e61c3cc4",69293,"Gasterosteus aculeatus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"8","78c6cda8f1613447cf0cc79a3e7f659d9b9d608b",8032,"Salmo trutta","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"9","ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab",9823,"Sus scrofa","species",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"10","ca10abaa969662cded6eba24df2960dad3485719",27706,"Micropterus salmoides","species",NA,"Metazoa","Chordata","Actinopteri","Centrarchiformes","Centrarchidae","Micropterus","Micropterus salmoides"
"11","f3b1b944f738536215cd355d76bc8c2bffd66624",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"12","49b916c007d3dbb75da7ceb655dd8cefb4e15ac4",8098,"Cottus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Cottus",""
"13","94b310b913e0d26c0720e1775a3f2a7f2dd6af18",9188,"Turdus migratorius","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius"
"14","9a69c3a268c7129726a4be25bfaacf024a80a18a",8018,"Oncorhynchus keta","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus keta"
"15","fd7d89190e5c165cf36284ea0fca46c98216328c",30962,"Oncorhynchus clarkii","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"16","98f92aa12195301ebbd47287eb23c45cffe10ffa",74940,"Oncorhynchus tshawytscha","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha"
"17","02e4a86c119ca4b65e5b616135fa996aa2eb4372",8019,"Oncorhynchus kisutch","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
"18","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c",9126,"Passeriformes","order",0.9914,"Metazoa","Chordata","Aves","Passeriformes","","",""
"19","7aa929fd12fc38856e105d3092ae8752af4b44da",9321,"Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"20","d15e926efd8720231adb32a8b4e6e40608827676",27778,"Ameiurus nebulosus","species",NA,"Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus"
"21","e747eef0a339a503193d10c42b71ef028bca3fc0",48891,"Poecile atricapillus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile atricapillus"
"22","50d5a3f2b4d167cfbca17d817316739f8f89fe8d",8017,"Oncorhynchus gorbuscha","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha"
"23","30742d31b3cc7a387b96133d0998ecee07c83597",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"24","e3f94823c5b562c70b6976a56b257d07f347300a",73321,"Regulus calendula","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Sylviidae","Regulus","Regulus calendula"
"25","0a3f5fde1bbb570e4705a194d016c59a57f82481",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"26","139ff38d8eb60547dba8a13573cc4d1939382544",28725,"Corvidae","family",0.9806,"Metazoa","Chordata","Aves","Passeriformes","Corvidae","",""
"27","03ac9e716fe523c4c84442c146d5a142dbaec2b8",8266,"Hippoglossus","genus",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus",""
"28","dc1779e8fa382387a1bdee2fff5959c7611b90b3",8817,"Dinornis","genus",NA,"Metazoa","Chordata","Aves","Dinornithiformes","Dinornithidae","Dinornis",""
"29","2435eb1079be3ac735d5301e934ec881cf409ceb",9153,"Paridae","family",1,"Metazoa","Chordata","Aves","Passeriformes","Paridae","",""
"30","6942200cdd388deece3c3b8d8b7c0a68f344bf32",147646,"Paralabrax maculatofasciatus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Serranidae","Paralabrax","Paralabrax maculatofasciatus"
"31","3a6a9122e22ef8cce1f5cb1d9da6fda8b3a157ef",319774,"Citharichthys sordidus","species",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"32","15903b34a9ddf3e5fac7751a3fb4553cba9c950a",72093,"Sebastes paucispinis","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes paucispinis"
"33","38e693e5c3a9002b3c7fe03ba0f5d3e6440d86ea",8007,"Esociformes","order",1,"Metazoa","Chordata","Actinopteri","Esociformes","","",""
"34","71e16d364efebb9b59a08f3dd90757e3b4b13447",8139,"Oreochromis","genus",NA,"Metazoa","Chordata","Actinopteri","Cichliformes","Cichlidae","Oreochromis",""
"35","a637bf43d5e132d153855d8251665d935ea12a0b",225387,"Ophiodon elongatus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Ophiodon","Ophiodon elongatus"
"36","31026d1c0665501b8e53beadf5a3647582359b14",172714,"Paralabrax clathratus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Serranidae","Paralabrax","Paralabrax clathratus"
"37","311dc383535518bf3e6f854961ac2d777cc957f9",13245,"Regulus satrapa","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Sylviidae","Regulus","Regulus satrapa"
"38","1a9fcb6105fadfcc2f4feac8875ffef8da6db3c2",195600,"Citharichthys xanthostigma","species",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys xanthostigma"
"39","d5f832529f6b73fadb1b9087af48bf9a8dc101c8",8833,"Aix sponsa","species",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","Aix","Aix sponsa"
"40","815465bf4218c40e60200ea518c5d7cbabd61f1c",239368,"Engraulis mordax","species",NA,"Metazoa","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"41","5a0c3363fdff5328d9329fe07af54c881ec0fbf2",452646,"Neovison vison","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Mustelidae","Neovison","Neovison vison"
"42","a56843c86d60d4423f69f4836868d31ea7eadf22",8022,"Oncorhynchus mykiss","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"43","9592a4ab6453a677ba409de61ccd9ceb9627d20a",319775,"Citharichthys stigmaeus","species",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys stigmaeus"
"44","d3a973efbba962488ffbf56a5faaec76ad1925a8",28381,"Sardinops sagax","species",NA,"Metazoa","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax"
"45","631402d8ed10c8b197e1d67c208b29b9ba254a64",8033,"Salvelinus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus",""
"46","478dd98db3a0a5b681d314fcd6aa476db6e43489",240832,"Thaleichthys pacificus","species",NA,"Metazoa","Chordata","Actinopteri","Osmeriformes","Osmeridae","Thaleichthys","Thaleichthys pacificus"
"47","7a3cd79f5f5aa22838cecef14cdd58de3a051b02",52273,"Scorpaenichthys marmoratus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus"
"48","e3bb86462242cc75b2d9159e96f588a2ca09a5d3",10114,"Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"49","bc392f2ab2d28f1c9aa2a98ebf78c0d707871993",8382,"Bufonidae","family",1,"Metazoa","Chordata","Amphibia","Anura","Bufonidae","",""
"50","56b85a262e73a6e60ef0c6d33c4d23a70da33cc0",34820,"Sebastes","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",""
"51","67cdd088bb558352e27cb2b5d229f838e8c11572",30873,"Paralabrax nebulifer","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Serranidae","Paralabrax","Paralabrax nebulifer"
"52","e330f6d1a7768b21c34c1d9d6814f5b48c87b05a",8167,"Perca flavescens","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens"
"53","d375db6821a4402acdeffb3d216d4abdc355cd48",44397,"Melospiza melodia","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia"
"54","215a1f59dbebd89ecaf8223653610b041c1e6baa",63520,"Piranga ludoviciana","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Thraupidae","Piranga","Piranga ludoviciana"
"55","c458bfbd8c0ac4b00203e7ac33d77c8141488906",173226,"Tachycineta thalassina","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta thalassina"
"56","2eb18eaf3053e4bb306b47b42bd9c34863aef20b",8416,"Neobatrachia","suborder",1,"Metazoa","Chordata","Amphibia","Anura","","",""
"57","2888591f23daf76ef3ae53a7d4bd6ffe13361bb8",39087,"Arvicolinae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"58","70e8e188ebdd7ea3d78d9c745f097cb48e934f95",7746,"Petromyzontidae","family",NA,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
