"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"1","580a64b0134da56e49bf06482ed6ee164d8a6ec5","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"2","2ed8fcca7933e00c05ce112abf7629f3fca0ae03","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii","consensus","consensus"
"3","2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"Microtus","consensus","consensus"
"4","ca4009e9f4961a466d717e77ddddcf64a374073d","genus","Metazoa","Chordata","Aves","Anseriformes","Anatidae","Anas",NA,"Anas","consensus","consensus"
"5","da7ec71822611a2ab3848b31b62a6da70e741c77","order","Metazoa","Chordata","Mammalia","Diprotodontia",NA,NA,NA,"Diprotodontia","consensus","consensus"
"6","c6d586dc78d8ef5cac238cba2d5714407775bd69","species","Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Bos taurus","consensus","consensus"
"7","7f229c17476e8d9142a9f3db5859a4fcc6b3b5d6","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"8","dcda35cdb325fa88556c3ee37ba18e6f5d8bf054","genus","Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus",NA,"Ameiurus","consensus","consensus"
"9","860ecfffc5c2dce11e2264d31c572c9cbcc78caf","family","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae",NA,NA,"Cottidae","consensus","consensus"
"10","3444727e70fffd5ecab6f16303976e812a7db959","order","Metazoa","Chordata","Mammalia","Diprotodontia",NA,NA,NA,"Diprotodontia","consensus","consensus"
"11","d2b6d6a7ad62c1827c70dfab3c1fd345dadbc9d4","species","Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens","Perca flavescens","consensus","consensus"
"12","66eb21474d8bbd0ab3d49cda6bd486c79b15ff51","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes","consensus","consensus"
"13","9065a17cf1c0baae17365ee6a46d4774faa5f3de","family","Metazoa","Chordata","Mammalia","Carnivora","Felidae",NA,NA,"Felidae","consensus","consensus"
"14","080147934ea92c696ef63f2154b2b093f3a98845","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon","consensus","consensus"
"15","445504a68c7d0c288ae4240eaa54530d832cacb6","genus","Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus",NA,"Ameiurus","consensus","consensus"
"16","a0c2e7cbad7bbe0b97f572d9a9aa8eb2b59c0f6b","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch","consensus","consensus"
